X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
"Female","25 - 34","Bachelor's Degree","Single","1601 - 3200 USD","Never","Never","Almost never","Very often","Very often","Very often","Very often","Never","Never","Very often","Never","Almost never","Very often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"Male","35 - 44","Other","Single","3201 USD and above","Never","Almost never","Almost never","Very often","Very often","Very often","Very often","Almost never","Never","Very often","Never","Almost never","Very often","Never","Never","Never","Never","Almost never","Almost never","Never","Never","Never","Never","Almost never","Almost never","Never","Almost never","Never","Never","Never"
"Male","18 - 24","Bachelor's Degree","Single","401 - 800 USD","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Almost never","Almost never","Almost never","Sometimes","Almost never","Almost never","Almost never","Almost never","Sometimes","Almost never","Sometimes","Sometimes","Sometimes","Sometimes","Almost never","Almost never","Almost never"
"Female","25 - 34","Bachelor's Degree","Single","801 - 1600 USD","Sometimes","Almost never","Quite often","Sometimes","Sometimes","Sometimes","Almost never","Sometimes","Almost never","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Almost never","Almost never","Sometimes","Sometimes","Almost never","Almost never","Almost never","Sometimes","Sometimes","Almost never","Sometimes","Sometimes","Sometimes","Sometimes","Almost never","Almost never"
"Other","35 - 44","Other","Divorced","1601 - 3200 USD","Quite often","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Almost never","Almost never","Almost never","Sometimes","Almost never","Sometimes","Sometimes","Almost never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never","Almost never","Almost never"
"Male","45 - 54","Bachelor's Degree","Married","3201 USD and above","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Quite often","Sometimes","Sometimes","Almost never","Almost never","Almost never","Sometimes","Sometimes","Sometimes","Sometimes","Almost never","Sometimes","Almost never","Sometimes","Sometimes","Sometimes","Sometimes","Almost never","Almost never"
"Male","35 - 44","High School","Divorced","401 - 800 USD","Sometimes","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"Male","55 and above","Middle School","Married","801 - 1600 USD","Sometimes","Sometimes","Quite often","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"Female","45 - 54","Middle School","Married","401 - 800 USD","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"Female","55 and above","Primary School","Married","0 - 400 USD","Sometimes","Quite often","Quite often","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
