Timestamp,X3,X1,X2,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
2025/01/06 05:43:25 AM GMT+3,Bachelor's Degree,Other,18 - 24,Sometimes,Very often,Quite often,Quite often,Quite often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Very often,Almost never,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes
2025/01/25 01:58:53 PM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Sometimes,Almost never,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Quite often,Very often,Very often,Quite often,Quite often,Very often,Almost never,Quite often,Almost never,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Almost never,Almost never
2025/01/13 07:42:31 PM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Quite often,Very often,Sometimes,Sometimes,Never,Quite often,Sometimes,Sometimes,Sometimes,Very often,Almost never,Very often,Sometimes,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Sometimes
2025/01/05 10:50:03 PM GMT+3,Bachelor's Degree,Male,18 - 24,Quite often,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Never,Quite often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Very often,Never,Sometimes,Very often,Sometimes,Very often,Never,Very often,Very often,Sometimes,Very often,Almost never
2025/01/08 04:56:27 AM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Very often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Never,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Almost never
2025/01/08 07:08:06 AM GMT+3,Bachelor's Degree,Female,45 - 54,Sometimes,Sometimes,Very often,Quite often,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Very often,Quite often,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Almost never
2025/01/22 07:50:12 AM GMT+3,Bachelor's Degree,Female,55 and above,Sometimes,Sometimes,Quite often,Very often,Very often,Sometimes,Very often,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Almost never,Quite often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Never,Sometimes,Almost never,Almost never
2025/01/16 10:21:23 AM GMT+3,Bachelor's Degree,Male,18 - 24,Sometimes,Sometimes,Quite often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Quite often,Very often,Very often,Sometimes,Sometimes,Almost never,Never,Very often,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Very often,Almost never
2025/01/21 03:02:34 AM GMT+3,Bachelor's Degree,Male,25 - 34,Sometimes,Sometimes,Quite often,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Very often,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Almost never,Very often,Almost never
2025/01/05 02:08:27 PM GMT+3,Bachelor's Degree,Male,18 - 24,Sometimes,Sometimes,Quite often,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Never,Sometimes,Almost never,Very often,Sometimes,Sometimes,Sometimes,Almost never,Never,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Almost never
2025/01/18 02:10:38 AM GMT+3,Bachelor's Degree,Male,45 - 54,Sometimes,Sometimes,Almost never,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Quite often,Almost never,Very often,Never,Sometimes,Very often,Very often,Sometimes,Almost never,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Very often,Never,Sometimes,Never,Sometimes,Almost never,Sometimes
